,Year,Company,Female %,Male %,% White,% Asian,% Latino,% Black,% Multi,% Other,% Undeclared,Gender Total %,Diversity Total %
0,2018,Yahoo!,37.0,63.0,45.0,44.0,4.0,2.0,2.0,3.0,0.0,100.0,100.0
1,2018,Google,31.0,69.0,53.0,36.0,4.0,3.0,4.0,0.0,0.0,100.0,100.0
2,2018,Apple,32.0,68.0,54.0,21.0,13.0,9.0,3.0,1.0,2.0,100.0,103.0
3,2018,Cisco,24.0,76.0,53.0,37.0,5.0,4.0,1.0,0.0,0.0,100.0,100.0
4,2018,eBay,40.0,60.0,50.0,39.0,6.0,3.0,1.0,1.0,0.0,100.0,100.0
5,2018,HP,37.0,63.0,73.0,12.0,8.0,4.0,2.0,0.0,0.0,100.0,99.0
6,2018,Indiegogo,50.0,50.0,58.0,28.0,7.0,4.0,0.0,3.0,0.0,100.0,100.0
7,2018,Nvidia,17.0,83.0,37.0,45.0,3.0,1.0,14.0,0.0,0.0,100.0,100.0
8,2018,Dell,28.0,72.0,69.0,9.0,11.0,10.0,0.0,1.0,0.0,100.0,100.0
9,2018,Ingram Micro,31.0,69.0,52.0,14.0,19.0,14.0,1.0,0.0,0.0,100.0,100.0
10,2018,Intel,27.0,74.0,48.0,39.0,9.0,4.0,0.0,1.0,0.0,101.0,101.0
11,2018,Groupon,44.0,56.0,62.0,20.0,8.0,8.0,0.0,3.0,0.0,100.0,101.0
12,2018,Amazon,39.0,61.0,48.0,13.0,13.0,21.0,0.0,5.0,0.0,100.0,100.0
13,2018,Etsy ,54.0,46.0,79.0,10.0,4.0,3.0,4.0,0.0,0.0,100.0,100.0
14,2018,Microsoft,26.0,74.0,56.0,31.0,6.0,4.0,2.0,0.0,0.0,100.0,99.0
15,2018,Salesforce,31.0,69.0,65.0,24.0,4.0,3.0,3.0,0.0,2.0,100.0,101.0
16,2018,Pandora,49.0,51.0,65.0,16.0,8.0,5.0,5.0,1.0,0.0,100.0,100.0
17,2018,Uber,38.0,62.0,49.0,32.0,6.0,8.0,4.0,1.0,0.0,100.0,100.0
18,2018,Slack,45.0,55.0,59.0,24.0,7.0,5.0,4.0,1.0,0.0,100.0,100.0
19,2018,AirBnB ,41.0,59.0,50.0,36.0,7.0,3.0,3.0,1.0,0.0,100.0,100.0
20,2018,Netflix,43.0,57.0,49.0,24.0,6.0,4.0,0.0,4.0,13.0,100.0,100.0
21,2018,Yelp,54.0,46.0,62.0,15.0,10.0,6.0,5.0,2.0,0.0,100.0,100.0
22,2017,Yahoo!,37.0,63.0,45.0,44.0,4.0,2.0,2.0,3.0,0.0,100.0,100.0
23,2017,Google,31.0,69.0,56.0,35.0,4.0,2.0,4.0,1.0,0.0,100.0,102.0
24,2017,Apple,32.0,68.0,54.0,21.0,13.0,9.0,3.0,1.0,2.0,100.0,103.0
